what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386148129975
started,bundle,org.eclipse.pde.core,3.4.0.v20080903-1700,org.eclipse.pde.core,1386148135760
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.copy,1386148137681
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386148143302
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148167404
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148173902
executed,command,org.eclipse.ui.ide,3.4.1.M20080903-2000,org.eclipse.ui.navigate.openResource,1386148173922
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148180306
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148287776
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148290728
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148318271
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386148321716
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1386148325618
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148328410
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148333240
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.rename,1386148333254
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386148335710
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.paste,1386148340970
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1386148343516
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148357354
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386148369713
activated,view,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PackageExplorer,1386148371936
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.PropertiesFileEditor,1386148372077
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1386148377806
closed,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1386148380523
