what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1386143038001
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.select.lineStart,1386143083664
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143098371
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143099307
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.line,1386143099326
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.findNext,1386143100113
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1386143111740
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.file.save,1386143161848
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.ClassFileEditor,1386143163278
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143167800
executed,command,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.edit.text.java.open.hierarchy,1386143167850
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143174904
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386143175982
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.backwardHistory,1386143176087
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386143186142
activated,editor,org.eclipse.jdt.ui,3.4.1.r341_v20080827-1100,org.eclipse.jdt.ui.CompilationUnitEditor,1386143189038
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.navigate.backwardHistory,1386143189061
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143197577
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143267709
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143275653
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143278550
deactivated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143280497
activated,workbench,org.eclipse.ui.workbench,3.4.1.M20080827-0800a,,1386143283929
executed,command,org.eclipse.ui,3.4.1.M20080910-0800,org.eclipse.ui.edit.text.contentAssist.proposals,1386143284895
executed,command,org.eclipse.ui.workbench.texteditor,3.4.1.r341_v20080827-1100,org.eclipse.ui.edit.text.goto.lineEnd,1386143291685
